ORCID,last_phd,total_pub,to_China,age,work1_avg,conn,is_Chinese,work_diff
0000-0002-0724-8186,0,7,1,5,0,0,1,0.246575342
0000-0002-0743-0762,0,0,1,0,0,2,1,0.010204082
0000-0002-0748-1279,0,17,1,6,0.12195122,0,1,-0.12195122
0000-0002-0756-0671,0,9,1,7,0.078947368,2,1,-0.020123839
0000-0002-0765-5427,0,62,1,10,0,3,1,0.541666667
0000-0002-0765-8660,0,27,1,9,0.16,0,0,-0.024864865
0000-0002-0785-0513,0,1,1,1,0.018867925,2,0,-0.018867925
0000-0002-0789-0320,0,21,1,10,0.319148936,0,1,-0.124026985
0000-0002-0792-0251,0,19,1,10,0.272727273,0,1,-0.106060606
0000-0002-0811-7794,0,12,1,7,0.136363636,0,1,-0.063192905
0000-0002-0833-5679,1,0,1,0,0,0,0,0
0000-0002-0841-2793,0,17,1,5,0.25,3,1,-0.091584158
0000-0002-0843-903X,1,8,1,9,0,0,1,0.257142857
0000-0002-0849-1524,0,0,1,0,0,0,1,0.092592593
0000-0002-0868-3745,0,1,1,1,0.105263158,0,0,-0.105263158
0000-0002-0879-3127,0,8,1,4,0.125,0,1,0.08254717
0000-0002-0891-3408,0,47,1,3,0.517647059,1,1,0.482352941
0000-0002-0891-9690,0,5,1,4,0,0,1,0.024096386
0000-0002-0928-8480,1,4,1,5,0.12195122,0,0,0.026196929
0000-0002-0961-1508,0,34,1,10,0.160714286,3,1,-0.128456221
0000-0002-0962-5424,0,24,1,6,0.305555556,0,1,0.217521368
0000-0002-0993-6767,0,0,1,0,0,1,1,0
0000-0002-1052-388X,0,0,1,0,0,3,1,0.042253521
0000-0002-1055-3341,0,0,1,0,0,1,1,0.057692308
0000-0002-1070-3581,1,0,1,0,0,0,1,0.037037037
0000-0002-1074-0438,0,16,1,10,0.166666667,1,1,-0.077777778
0000-0002-1080-5086,0,6,1,3,0.145833333,0,1,-0.120833333
0000-0002-1089-7945,0,81,1,9,1.243243243,1,1,0.350506757
0000-0002-1109-0799,0,3,1,2,0.042857143,0,1,-0.018466899
0000-0002-1109-7704,0,5,1,12,0,0,1,0.090909091
0000-0002-1120-4311,1,8,1,5,0.131147541,0,0,-0.078515962
0000-0002-1126-3469,0,8,1,8,0.125,0,0,-0.066176471
0000-0002-1137-3545,0,22,1,6,0,3,1,0.206896552
0000-0002-1142-3100,0,35,1,15,0.269230769,1,1,0.013788099
0000-0002-1153-1558,0,18,1,8,0.230769231,0,0,-0.230769231
0000-0002-1166-9047,0,19,1,9,0.217391304,3,1,0.34671126
0000-0002-1230-0946,0,0,1,0,0,0,1,0.171428571
0000-0002-1259-5131,1,0,1,0,0,0,1,0
0000-0002-1287-2733,0,1,1,2,0,0,0,0.130434783
0000-0002-1298-0267,0,23,1,9,0.302325581,0,0,0.290267011
0000-0002-1337-0786,0,27,1,10,0.155172414,3,1,0.024314766
0000-0002-1339-0656,0,33,1,9,0.3,0,0,-0.027272727
0000-0002-1341-1525,0,6,1,9,0.085714286,2,1,-0.051231527
0000-0002-1365-3700,0,0,1,0,0,0,1,0.010416667
0000-0002-1374-1698,1,0,1,0,0,0,0,0.03030303
0000-0002-1378-8082,0,11,1,7,0.119047619,0,1,-0.076494428
0000-0002-1395-188X,0,27,1,11,0.08,0,1,0.062857143
0000-0002-1401-2294,0,10,1,7,0,0,1,0.035294118
0000-0002-1414-7973,1,5,1,6,0.037735849,0,0,0.105121294
0000-0002-1416-1476,0,5,1,4,0.0625,1,1,0.026785714
0000-0002-1442-992X,0,28,1,9,0.222222222,1,1,0.037037037
0000-0002-1447-9986,0,10,1,5,0.126582278,1,1,-0.126582278
0000-0002-1452-4388,0,0,1,0,0,1,1,0.013513514
0000-0002-1452-6455,0,12,1,9,0.107142857,0,0,-0.03021978
0000-0002-1479-285X,0,24,1,9,0.181818182,1,1,0.339015152
0000-0002-1486-741X,0,9,1,8,0.230769231,0,1,-0.143812709
0000-0002-1494-5297,0,12,1,5,0.305555556,0,0,-0.143393393
0000-0002-1502-5724,0,0,1,1,0.013888889,0,0,0.069444444
0000-0002-1506-1063,0,16,1,8,0.323529412,0,1,-0.147058824
0000-0002-1516-4986,0,69,1,9,0.684210526,3,1,-0.225877193
0000-0002-1544-7441,0,20,1,5,0.285714286,0,1,0.339285714
0000-0002-1558-9423,0,18,1,10,0.414634146,0,1,0.041887593
0000-0002-1591-5583,0,4,1,3,0.194444444,0,1,0.126984127
0000-0002-1609-7367,0,23,1,8,0.289473684,0,1,0.186716792
0000-0002-1667-6705,0,0,1,0,0,1,1,0.150943396
0000-0002-1687-0401,0,10,1,6,0.15,3,1,0.169148936
0000-0002-1695-3426,0,0,1,0,0,3,0,0.142857143
0000-0002-1707-0633,1,18,1,5,0.404761905,0,1,-0.036340852
0000-0002-1711-3875,1,2,1,2,0.083333333,0,1,-0.006410256
0000-0002-1738-1466,0,12,1,8,0.137931034,2,1,-0.137931034
0000-0002-1757-4479,0,27,1,7,0.161290323,0,0,0.120760959
0000-0002-1775-4605,0,27,1,11,0.1875,0,1,0.007621951
0000-0002-1802-6917,0,0,1,0,0,3,1,0.178082192
0000-0002-1811-4159,0,10,1,13,0.074074074,1,1,0.082175926
0000-0002-1857-1413,0,5,1,6,0.083333333,0,0,-0.083333333
0000-0002-1876-1284,0,18,1,7,0.021052632,1,1,0.103947368
0000-0002-1895-7578,0,11,1,9,0.1,3,1,0.2
0000-0002-1926-7982,0,0,1,0,0,0,0,0.125
0000-0002-2036-1220,0,49,1,12,0.285714286,1,1,0.251322751
0000-0002-2040-2942,0,4,1,4,0.096774194,0,1,0.060088552
0000-0002-2046-131X,0,36,1,10,0.5,1,1,-0.329268293
0000-0002-2054-908X,0,53,1,37,0.472222222,1,1,0.361111111
0000-0002-2069-0390,0,0,1,0,0,0,1,0
0000-0002-2090-2701,0,0,1,0,0.017857143,3,1,0
0000-0002-2112-7946,0,8,1,3,0.166666667,0,1,0
0000-0002-2113-8258,1,4,1,8,0.05,0,1,0.092857143
0000-0002-2119-0267,0,0,1,0,0,1,1,0
0000-0002-2124-3453,1,0,1,0,0,0,0,0.076923077
0000-0002-2138-2592,0,3,1,8,0.033898305,3,1,-0.033898305
0000-0002-2175-2231,1,0,1,0,0.022222222,0,1,-0.022222222
0000-0002-2199-1400,0,0,1,0,0,0,1,0.017241379
0000-0002-2222-2312,0,5,1,5,0,3,1,0.25
0000-0002-2224-6373,0,5,1,4,0,1,1,0.130434783
0000-0002-2226-4774,0,9,1,11,0.038461538,1,1,-0.008158508
0000-0002-2232-9814,1,2,1,8,0,0,1,0.113207547
0000-0002-2250-4483,0,1,1,2,0,0,0,0
0000-0002-2256-0637,1,1,1,2,0.021276596,0,1,0.015760441
0000-0002-2258-6757,0,16,1,7,0.203389831,0,1,0.254943503
0000-0002-2268-3178,0,17,1,7,0.121621622,3,1,0.489489489
0000-0002-2276-4023,0,0,1,0,0,1,1,0.133333333
0000-0002-2277-6809,0,8,1,5,0.166666667,0,0,-0.166666667
0000-0002-2279-2657,0,0,1,1,0,1,1,0.228915663
0000-0002-2297-8013,0,8,1,8,0.219512195,0,1,-0.1577838
0000-0002-2298-1423,0,13,1,12,0.063829787,1,1,-0.063829787
0000-0002-2309-1596,0,1,1,1,0,0,1,0
0000-0002-2357-8281,0,19,1,15,0.218181818,0,0,-0.134848485
0000-0002-2362-2940,0,11,1,4,0.230769231,0,1,0.053321678
0000-0002-2415-4659,0,0,1,0,0,1,1,0
0000-0002-2449-3749,0,10,1,7,0.05,0,1,0.061111111
0000-0002-2471-7036,0,0,1,0,0,3,1,0
0000-0002-2475-3221,0,5,1,5,0.035714286,0,1,0.526785714
0000-0002-2489-4702,0,4,1,4,0,0,1,0.208955224
0000-0002-2498-6893,0,8,1,3,0,2,1,0.138461538
0000-0002-2509-5523,0,9,1,4,0.1125,3,1,0.302134146
0000-0002-2531-7552,0,5,1,9,0,0,1,0.25
0000-0002-2539-120X,0,10,1,5,0.189189189,1,1,0.174447174
0000-0002-2565-5543,0,10,1,5,0.03030303,3,1,0.275252525
0000-0002-2605-2947,0,19,1,5,0,3,1,0.188679245
0000-0002-2607-2999,0,14,1,5,0.307692308,0,0,1.081196581
0000-0002-2607-6869,0,26,1,9,0.548387097,1,0,0.048104131
0000-0002-2611-380X,0,0,1,0,0,0,1,0
0000-0002-2619-4398,1,7,1,7,0.130434783,0,0,-0.091973244
0000-0002-2623-8960,0,13,1,11,0.043478261,1,1,0.041267502
0000-0002-2658-2577,1,6,1,3,0.097560976,0,1,0.084257206
0000-0002-2679-7498,0,0,1,0,0,3,1,0
0000-0002-2686-593X,0,0,1,0,0,0,0,0.035714286
0000-0002-2706-1060,0,6,1,5,0.092307692,0,0,0.065587045
0000-0002-2706-4149,0,2,1,2,0,3,1,0.131147541
0000-0002-2708-3526,1,3,1,5,0.074074074,0,0,0.075925926
0000-0002-2733-6976,0,20,1,8,0.25,1,1,-0.011904762
0000-0002-2739-9889,0,43,1,9,0.416666667,3,1,0.018115942
0000-0002-2740-5222,0,11,1,8,0.081081081,0,1,0.731418919
0000-0002-2764-6544,1,7,1,6,0,0,1,0.304347826
0000-0002-2811-3504,0,0,1,0,0,0,1,0.070175439
0000-0002-2811-7310,0,17,1,10,0.066666667,0,0,0.393859649
0000-0002-2819-4711,0,9,1,5,0.161290323,0,1,-0.001290323
0000-0002-2823-6571,0,0,1,0,0.125,1,1,-0.098214286
0000-0002-2831-0436,0,17,1,11,0.090909091,1,1,0.343053173
0000-0002-2846-6211,0,3,1,5,0.073170732,0,1,0.054488843
0000-0002-2864-1251,0,10,1,8,0,0,1,0
0000-0002-2877-8282,0,28,1,10,0.054054054,3,1,0.092612613
0000-0002-2878-6901,0,0,1,0,0,3,1,0.026315789
0000-0002-2898-3358,0,2,1,3,0.027027027,3,1,0.13963964
0000-0002-2908-5680,0,21,1,12,0.106060606,0,0,-0.069023569
0000-0002-2910-4773,0,22,1,6,0.333333333,0,0,0.271929825
0000-0002-2917-9652,0,6,1,6,0.054054054,0,1,0.112612613
0000-0002-2926-2560,0,9,1,9,0.106666667,0,0,-0.020952381
0000-0002-2938-0233,0,9,1,5,0.140625,0,1,-0.097146739
0000-0002-2945-4685,0,21,1,5,0.355932203,0,0,0.38600328
0000-0002-2959-9147,0,5,1,1,0.127659574,0,1,-0.075027996
0000-0002-2969-3889,0,16,1,7,0.184210526,2,1,0.177491601
0000-0002-2983-7213,0,12,1,7,0.097560976,0,1,0.006916636
0000-0002-2990-5343,0,23,1,8,0.259259259,1,1,0.257594673
0000-0002-2992-6435,0,0,1,0,0,1,1,0.133333333
0000-0002-3008-5143,0,8,1,7,0.033333333,0,1,0.249685535
0000-0002-3017-762X,0,21,1,11,0.25,0,1,0.102941176
0000-0002-3018-0335,0,24,1,11,0,1,1,0
0000-0002-3029-7074,0,0,1,0,0,3,1,0.025316456
0000-0002-3044-5508,0,2,1,4,0,0,1,0.284090909
0000-0002-3067-1580,0,8,1,4,0,1,1,0.416666667
0000-0002-3074-1251,0,19,1,9,0,2,1,0.065217391
0000-0002-3077-7983,0,4,1,6,0.1875,0,1,0.264112903
0000-0002-3130-4176,1,8,1,6,0.516129032,0,1,-0.516129032
0000-0002-3149-0239,0,0,1,0,0,0,0,0.024390244
0000-0002-3149-7940,1,6,1,2,0.1,0,0,-0.1
0000-0002-3201-0129,0,3,1,5,0.042553191,0,0,0.016270338
0000-0002-3212-3051,0,23,1,5,0.04,0,1,1.054339623
0000-0002-3213-7891,0,20,1,11,0.2,0,1,0.417021277
0000-0002-3214-328X,1,29,1,6,0.5,0,1,0.1
0000-0002-3220-904X,1,0,1,0,0,0,0,0
0000-0002-3224-5788,0,1,1,2,0.020833333,0,0,-0.020833333
0000-0002-3234-4698,0,10,1,4,0.214285714,0,0,-0.150455927
0000-0002-3246-4227,0,8,1,6,0.148148148,1,1,0.247685185
0000-0002-3267-7038,0,5,1,3,0.084745763,0,0,-0.027602906
0000-0002-3272-3567,0,0,1,0,0,0,1,0
0000-0002-3278-9451,0,4,1,2,0.222222222,0,1,-0.180555556
0000-0002-3291-6713,0,8,1,7,0,3,1,0.212121212
0000-0002-3320-2261,0,0,1,0,0,0,0,0
0000-0002-3341-2947,1,0,1,0,0,0,0,0
0000-0002-3344-4463,1,0,1,0,0,0,0,0.245283019
0000-0002-3361-3220,0,8,1,6,0.133333333,2,1,-0.096296296
0000-0002-3368-5136,0,20,1,4,0.208333333,1,1,0.333333333
0000-0002-3384-3229,1,5,1,6,0.055555556,0,0,0.555555556
0000-0002-3389-5707,0,0,1,1,0.02,0,1,0.002222222
0000-0002-3415-5612,0,31,1,9,0.25,3,1,-0.132352941
0000-0002-3437-5834,0,10,1,7,0.081081081,1,1,0.252252252
0000-0002-3448-5494,0,21,1,8,0.212121212,1,1,-0.212121212
0000-0002-3472-7895,0,11,1,6,0.272727273,0,1,0.175870858
0000-0002-3475-2089,1,0,1,0,0,0,0,0
0000-0002-3480-2381,0,8,1,10,0.1,0,0,0.220512821
0000-0002-3480-7502,1,7,1,4,0.127659574,0,1,0.150118203
0000-0002-3489-3949,1,7,1,4,0.25,0,1,0.132352941
0000-0002-3490-9752,0,8,1,7,0.105263158,2,1,0.094736842
0000-0002-3491-3401,1,2,1,2,0.02739726,0,0,-0.000370233
0000-0002-3499-2189,0,0,1,0,0,0,1,0.061538462
0000-0002-3502-8738,0,6,1,6,0,1,1,0.342465753
0000-0002-3511-5620,0,5,1,7,0,3,0,0.078125
0000-0002-3515-4590,0,12,1,5,0.126436782,3,1,0.632183908
0000-0002-3535-7232,0,11,1,6,0,3,1,0.051282051
0000-0002-3548-6026,1,17,1,9,0.209677419,0,0,-0.209677419
0000-0002-3553-557X,1,0,1,0,0,0,0,0.03030303
0000-0002-3561-2088,0,7,1,10,0.111111111,0,0,0.195011338
0000-0002-3566-4558,1,2,1,3,0.035087719,0,0,0.646730463
0000-0002-3584-1673,1,11,1,7,0.195121951,0,0,-0.128455285
0000-0002-3592-126X,0,7,1,9,0.071428571,0,1,0.165859564
0000-0002-3657-7333,0,10,1,6,0.071428571,0,0,0.084821429
0000-0002-3664-4874,0,4,1,2,0.095238095,3,1,0.073593074
0000-0002-3670-3950,0,2,1,3,0.055555556,0,1,-0.012077295
0000-0002-3705-1384,0,6,1,3,0.096774194,1,0,-0.096774194
0000-0002-3755-6542,0,68,1,8,0.03030303,3,1,0.66969697
0000-0002-3757-4089,0,0,1,0,0,0,1,0
0000-0002-3776-822X,1,1,1,2,0,0,0,0
0000-0002-3787-5404,0,11,1,8,0.023809524,2,1,-0.023809524
0000-0002-3795-003X,1,2,1,4,0.037037037,0,1,0.013810421
0000-0002-3800-5013,0,7,1,4,0.118644068,0,1,0.131355932
0000-0002-3802-4644,0,6,1,6,0.142857143,0,0,0.071428571
0000-0002-3812-1225,0,2,1,3,0,2,1,0.132075472
0000-0002-3816-4639,0,25,1,7,0.333333333,1,1,-0.222222222
0000-0002-3818-0268,0,14,1,8,0,1,1,0.032258065
0000-0002-3840-425X,0,2,1,3,0.0625,0,0,0.204166667
0000-0002-3846-5079,0,7,1,6,0.125,0,1,0.023148148
0000-0002-3865-0098,1,11,1,6,0.185185185,0,1,-0.136004857
0000-0002-3880-6996,0,18,1,10,0.125,1,1,-0.097222222
0000-0002-3883-0996,0,0,1,0,0,0,1,0.026315789
0000-0002-3938-7033,0,7,1,5,0,0,1,0.072289157
0000-0002-3953-2229,0,3,1,5,0.294117647,0,1,-0.1809101
0000-0002-3976-7642,0,10,1,13,0.066666667,0,0,0.016666667
0000-0002-3981-7670,0,8,1,7,0.184210526,2,1,-0.184210526
0000-0002-4016-1605,0,0,1,0,0,0,1,0.01369863
0000-0002-4020-3457,1,2,1,9,0.024390244,0,0,-0.024390244
0000-0002-4043-1695,0,19,1,6,0.372881356,0,0,-0.247881356
0000-0002-4051-7851,0,27,1,9,0.341176471,1,1,-0.126890756
0000-0002-4053-8476,1,0,1,0,0,0,1,0.133333333
0000-0002-4096-4926,0,12,1,7,0.138888889,0,0,0.411111111
0000-0002-4106-5826,0,17,1,11,0,0,0,0
0000-0002-4111-1087,0,23,1,6,0,3,1,0.342342342
0000-0002-4115-3287,0,42,1,8,0.235294118,1,1,0.553438277
0000-0002-4156-2187,0,8,1,4,0.818181818,0,1,-0.755681818
0000-0002-4177-2555,0,31,1,9,0.435483871,2,1,-0.115483871
0000-0002-4194-2243,0,6,1,5,0.028571429,0,1,0.079862306
0000-0002-4211-0190,1,3,1,4,0.051724138,0,0,-0.000442087
0000-0002-4224-8595,0,8,1,6,0.179487179,1,1,0.237179487
0000-0002-4227-3061,0,106,1,14,0,2,1,1.305555556
0000-0002-4248-9778,1,1,1,4,0.033898305,0,1,-0.033898305
0000-0002-4249-9319,1,7,1,3,0.212121212,0,0,0.092226614
0000-0002-4252-3980,0,16,1,13,0.117647059,1,1,-0.117647059
0000-0002-4254-6824,0,15,1,11,0.086956522,1,1,-0.086956522
0000-0002-4273-8500,0,15,1,5,0.173913043,1,1,0.226086957
0000-0002-4289-6998,0,26,1,13,0.180722892,0,1,-0.010510126
0000-0002-4304-5482,1,10,1,4,0.142857143,1,1,-0.035714286
0000-0002-4317-1972,0,7,1,5,0.081632653,0,0,-0.022809124
0000-0002-4327-172X,0,1,1,2,0.025,1,1,0.003571429
0000-0002-4329-0103,0,0,1,0,0,3,1,0.102040816
0000-0002-4334-2620,1,0,1,0,0,0,0,0.028571429
0000-0002-4338-015X,0,0,1,0,0,0,1,0.019607843
0000-0002-4349-5627,0,21,1,4,0,0,1,0.277227723
0000-0002-4353-5123,0,1,1,2,0,1,1,0.228070175
0000-0002-4354-0256,1,7,1,3,0.333333333,0,0,-0.333333333
0000-0002-4374-5083,0,63,1,9,0.923076923,1,1,-0.163583252
0000-0002-4379-941X,0,0,1,0,0,3,1,0.037037037
0000-0002-4380-9542,0,15,1,7,0.188405797,0,1,0.367149758
0000-0002-4403-737X,0,11,1,4,0,0,1,0.102040816
0000-0002-4408-8775,0,12,1,6,0,3,1,0.546296296
0000-0002-4409-1667,0,0,1,0,0,0,0,0.018181818
0000-0002-4422-7325,0,0,1,0,0,1,0,0
0000-0002-4430-3965,0,31,1,11,0.666666667,3,1,-0.638095238
0000-0002-4436-926X,1,26,1,7,0.547169811,0,1,-0.430503145
0000-0002-4439-2988,0,35,1,8,0.149253731,0,1,0.326936745
0000-0002-4442-8004,0,13,1,6,0.184615385,0,1,-0.073504274
0000-0002-4458-8550,0,10,1,8,0,3,1,0.24137931
0000-0002-4465-4378,1,3,1,4,0.25,0,0,-0.083333333
0000-0002-4484-8885,1,3,1,4,0.069767442,0,1,0.096899225
0000-0002-4486-712X,0,0,1,0,0,2,1,0
0000-0002-4486-7429,0,17,1,4,0.213333333,2,1,0.059393939
0000-0002-4487-6384,1,1,1,1,0.041666667,0,0,0.678333333
0000-0002-4495-6237,0,14,1,8,0.144578313,0,0,-0.073149742
0000-0002-4497-4398,0,28,1,9,0.291666667,0,1,0.958333333
0000-0002-4508-1452,1,1,1,1,0,0,0,0.03125
0000-0002-4550-892X,0,31,1,8,0.025641026,1,1,-0.025641026
0000-0002-4560-4970,0,7,1,8,0.083333333,3,1,0
0000-0002-4628-1755,0,16,1,7,0.163265306,1,1,-0.079931973
0000-0002-4699-6558,0,27,1,10,0.229166667,2,1,-0.157738095
0000-0002-4705-145X,0,0,1,0,0,1,1,0.010526316
0000-0002-4722-5384,0,21,1,10,0,1,1,0.3
0000-0002-4726-5765,0,21,1,11,0.091836735,0,1,-0.014913658
0000-0002-4736-2477,0,11,1,8,0.243902439,0,1,0.131097561
0000-0002-4742-9870,1,4,1,3,0.102040816,0,0,-0.030612245
0000-0002-4766-4221,1,9,1,5,0.191489362,0,1,-0.07027724
0000-0002-4778-2455,1,14,1,8,0,0,0,0.416666667
0000-0002-4782-853X,0,3,1,6,0.162162162,0,1,0.14952615
0000-0002-4806-7576,0,17,1,10,0.025641026,0,0,-0.025641026
0000-0002-4824-5651,0,0,1,0,0,3,1,0.011904762
0000-0002-4828-4183,0,52,1,7,0.806451613,1,1,0.568548387
0000-0002-4846-7561,0,6,1,7,0,0,1,0
0000-0002-4861-527X,0,0,1,0,0,0,0,0.01754386
0000-0002-4868-331X,0,14,1,8,0.224137931,0,1,-0.157471264
0000-0002-4870-1493,0,29,1,6,0.210526316,2,1,1.622807018
0000-0002-4874-1305,0,0,1,0,0,0,0,0.022727273
0000-0002-4903-6800,0,35,1,14,0.375,0,0,-0.348684211
0000-0002-4911-6667,0,3,1,5,0,3,1,0.052631579
0000-0002-4954-7192,1,0,1,0,0.063829787,0,0,-0.040020263
0000-0002-4960-8186,0,5,1,5,0.083333333,1,1,0.333333333
0000-0002-4984-7275,1,2,1,4,0.022727273,0,0,-0.022727273
0000-0002-4985-458X,0,2,1,3,0,3,1,0
0000-0002-4988-1326,1,4,1,3,0.041666667,0,0,0.083333333
0000-0002-5001-6620,0,2,1,2,0,2,1,0.254545455
0000-0002-5008-0868,1,24,1,8,0.361702128,0,1,0.403003755
0000-0002-5024-5650,0,32,1,6,0.438596491,3,1,-0.083040936
0000-0002-5033-6210,0,15,1,10,0.1,1,1,-0.1
0000-0002-5036-8220,0,0,1,0,0,0,0,0.025
0000-0002-5101-9954,0,15,1,9,0.204081633,1,1,-0.115192744
0000-0002-5102-9482,0,0,1,0,0,0,0,0.041666667
0000-0002-5133-9165,0,3,1,1,0,3,1,0.344827586
0000-0002-5162-488X,0,5,1,4,0.428571429,3,1,-0.428571429
0000-0002-5173-4923,0,25,1,11,0.202702703,0,1,-0.115746181
0000-0002-5174-2691,1,0,1,0,0,0,0,0.025
0000-0002-5178-3530,0,4,1,6,0.032786885,3,1,0.175546448
0000-0002-5182-8620,0,31,1,7,0.117647059,3,1,0.409379968
0000-0002-5190-3037,0,14,1,10,0.225806452,3,1,-0.191908147
0000-0002-5219-7285,0,11,1,9,0.041666667,0,1,0.041666667
0000-0002-5248-0056,1,1,1,2,0.03030303,0,1,0.050342131
0000-0002-5256-6052,0,8,1,7,0.034482759,1,1,-0.005497251
0000-0002-5261-7366,0,10,1,8,0.212765957,1,1,-0.053675048
0000-0002-5263-9346,0,16,1,9,0.041666667,1,1,0.043079096
0000-0002-5293-4206,0,31,1,9,0.0375,1,1,-0.0375
0000-0002-5333-2717,0,5,1,5,0.043478261,0,0,0.104669887
0000-0002-5371-5320,1,4,1,3,0.102040816,0,0,0.255102041
0000-0002-5419-669X,1,8,1,5,0,0,1,0.072463768
0000-0002-5442-2992,1,15,1,5,0.311111111,0,1,-0.11598916
0000-0002-5450-5958,0,2,1,3,0,1,1,0.388888889
0000-0002-5452-5465,0,26,1,7,0.36,2,1,0.528888889
0000-0002-5456-574X,0,31,1,14,0.142857143,0,0,0.137142857
0000-0002-5506-7507,0,6,1,3,0.125,1,1,-0.125
0000-0002-5508-2432,0,2,1,2,0.037037037,0,1,-0.037037037
0000-0002-5532-1018,0,27,1,10,0.527777778,0,0,-0.321895425
0000-0002-5537-7089,0,41,1,15,0,3,1,0.555555556
0000-0002-5543-8152,0,14,1,7,0.184615385,0,0,-0.017948718
0000-0002-5550-9889,0,1,1,4,0.027777778,0,0,0.344771242
0000-0002-5559-6230,0,4,1,4,0.056338028,1,1,0.150558524
0000-0002-5561-884X,0,2,1,2,0.046875,0,1,0.036458333
0000-0002-5617-4718,1,2,1,3,0.03125,0,0,0.045673077
0000-0002-5620-0410,0,8,1,7,0.217391304,0,1,-0.104891304
0000-0002-5622-0788,1,0,1,0,0,0,0,0.159090909
0000-0002-5624-0818,1,4,1,6,0.077922078,0,1,-0.051373405
0000-0002-5654-7721,0,3,1,5,0.058823529,3,1,0.110987791
0000-0002-5667-7868,0,23,1,7,0.166666667,1,1,0.149122807
0000-0002-5683-849X,0,6,1,4,0.243902439,1,1,0.298954704
0000-0002-5699-779X,0,62,1,10,0,1,1,0.333333333
0000-0002-5707-1905,1,6,1,3,0.323529412,0,1,0.484162896
0000-0002-5714-6727,0,2,1,3,0.028571429,0,0,0.045502646
0000-0002-5725-9510,0,0,1,0,0,1,1,0
0000-0002-5727-7356,0,9,1,4,0.073170732,1,1,0.05890474
0000-0002-5729-4455,0,0,1,0,0,1,1,0.066666667
0000-0002-5769-167X,0,32,1,9,0.111111111,0,1,0.89869281
0000-0002-5801-5593,0,15,1,6,0.052631579,0,1,0.280701754
0000-0002-5811-6300,0,66,1,8,0.828571429,3,1,0.483928571
0000-0002-5832-7546,0,25,1,8,0.433962264,0,1,0.043310463
0000-0002-5847-4642,1,9,1,5,0,0,1,0.186046512
0000-0002-5849-1485,0,71,1,10,0.811320755,0,0,0.744234801
0000-0002-5853-633X,0,0,1,0,0.090909091,3,1,-0.00102145
0000-0002-5887-534X,0,38,1,12,0.338461538,0,0,0.411538462
0000-0002-5943-2583,0,38,1,9,0.388888889,1,1,-0.388888889
0000-0002-5943-4589,1,25,1,9,0.142857143,0,1,-0.077639752
0000-0002-5946-9183,0,13,1,4,0,0,1,0.446153846
0000-0002-5973-5293,1,0,1,0,0,0,1,0.013157895
0000-0002-5976-2806,1,3,1,2,0.088235294,0,1,-0.062594268
0000-0002-5980-3380,0,11,1,7,0.034482759,3,1,0.232183908
0000-0002-6002-0607,0,6,1,15,0.107142857,0,0,-0.107142857
0000-0002-6003-7644,0,3,1,2,0,0,0,0.074074074
0000-0002-6044-7504,0,6,1,6,0.035714286,3,1,0.046477495
0000-0002-6056-177X,0,4,1,4,0.047619048,0,0,-0.021303258
0000-0002-6057-8141,0,10,1,7,0.125,1,1,0.001582278
0000-0002-6116-5605,0,37,1,9,0.333333333,1,1,0.680555556
0000-0002-6120-9583,0,1,1,1,0,3,1,0.023809524
0000-0002-6142-7441,0,2,1,2,0,0,0,0.166666667
0000-0002-6154-4859,1,15,1,8,0.302325581,0,1,0.123600345
0000-0002-6159-9999,0,25,1,7,0.035714286,1,1,0.727726575
0000-0002-6184-2530,0,28,1,10,0.181818182,1,1,0.059561129
0000-0002-6215-7607,0,2,1,3,0,1,1,0
0000-0002-6216-1665,0,6,1,7,0.064516129,0,0,-0.064516129
0000-0002-6220-5349,0,27,1,8,0.342857143,0,1,-0.05472155
0000-0002-6224-0734,0,10,1,7,0.089552239,0,1,-0.076218905
0000-0002-6227-6323,0,5,1,3,0.157894737,2,1,-0.145236509
0000-0002-6245-4759,0,20,1,9,0.228571429,1,1,-0.006349206
0000-0002-6251-8468,0,3,1,9,0.022222222,0,1,0.067330017
0000-0002-6332-0955,1,8,1,6,0.127659574,0,1,0.872340426
0000-0002-6332-8148,1,1,1,1,0.05,0,1,-0.05
0000-0002-6351-0062,0,0,1,0,0,3,1,0
0000-0002-6358-976X,0,0,1,0,0,1,1,0
0000-0002-6360-6478,0,25,1,4,0,0,1,0
0000-0002-6383-7540,0,7,1,4,0.285714286,0,1,-0.119047619
0000-0002-6391-5270,1,17,1,7,0.326530612,0,0,-0.095761381
0000-0002-6392-5989,0,0,1,0,0,0,1,0.057142857
0000-0002-6403-3720,0,4,1,3,0.235294118,1,1,-0.158371041
0000-0002-6406-704X,0,0,1,1,0.03030303,0,0,-0.03030303
0000-0002-6414-7015,0,92,1,15,0.608108108,1,1,-0.582467082
0000-0002-6420-7719,0,0,1,0,0,3,1,0
0000-0002-6429-9385,0,0,1,0,0,0,1,0.024390244
0000-0002-6443-4727,0,16,1,6,0.192307692,0,1,-0.014888337
0000-0002-6448-1726,0,3,1,9,0.025641026,2,1,0.017216117
0000-0002-6449-9643,1,3,1,4,0.072727273,0,0,0.055477855
0000-0002-6463-7356,0,15,1,11,0.094339623,1,1,0.043591412
0000-0002-6467-3592,0,6,1,5,0.112903226,0,1,-0.054079696
0000-0002-6469-1889,0,1,1,2,0,0,1,0.083333333
