ORCID,last_phd,total_pub,to_China,age,work1_avg,conn,is_Chinese,work_diff
0000-0001-6488-3699,0,2,1,6,0.020833333,1,1,-0.020833333
0000-0001-6500-8052,0,6,1,4,0,0,1,0.034090909
0000-0001-6522-6762,0,5,1,7,0,0,1,0.066666667
0000-0001-6551-7017,0,7,1,7,0.12,0,0,0.077183099
0000-0001-6576-9564,1,3,1,5,0.037037037,0,1,-0.037037037
0000-0001-6625-719X,0,16,1,10,0.233333333,1,1,-0.156410256
0000-0001-6634-842X,0,45,1,10,0.529411765,1,1,-0.235294118
0000-0001-6638-8026,0,35,1,8,0.208333333,2,1,-0.208333333
0000-0001-6649-2384,0,12,1,5,0.274193548,0,0,0.007857734
0000-0001-6660-4892,0,0,1,1,0,2,1,0.064935065
0000-0001-6673-6983,1,1,1,1,0.020833333,0,1,-0.020833333
0000-0001-6681-593X,0,19,1,7,0.314285714,0,1,0.010714286
0000-0001-6708-5422,1,2,1,2,0.056603774,0,1,-0.056603774
0000-0001-6730-2116,0,2,1,2,0,0,1,0.088235294
0000-0001-6732-2002,0,0,1,0,0,1,1,0.03960396
0000-0001-6735-1612,0,3,1,3,0,0,0,0.12345679
0000-0001-6763-9149,1,2,1,4,0.068181818,0,1,-0.009358289
0000-0001-6765-6627,0,0,1,0,0,1,1,0.041666667
0000-0001-6772-2196,0,1,1,1,0.016949153,0,0,0.059973924
0000-0001-6785-9627,0,0,1,0,0,0,1,0.016666667
0000-0001-6801-0529,0,9,1,5,0.875,0,1,-0.875
0000-0001-6822-9248,0,5,1,6,0,0,1,0.303921569
0000-0001-6823-5840,0,0,1,0,0,0,0,0.018867925
0000-0001-6865-5861,1,5,1,1,0.145833333,0,1,-0.087009804
0000-0001-6902-3751,0,7,1,5,0.092105263,0,1,-0.092105263
0000-0001-6904-6646,0,12,1,5,0.160714286,0,1,0.065092166
0000-0001-6919-0429,1,4,1,6,0.039215686,0,1,0.484593838
0000-0001-6920-2717,0,0,1,0,0,3,1,0.024691358
0000-0001-6924-5485,0,34,1,6,0.130434783,0,0,0.744565217
0000-0001-6937-4017,0,61,1,11,0.535353535,0,1,-0.535353535
0000-0001-6948-7572,1,15,1,5,0.292307692,0,0,-0.253846154
0000-0001-6962-4768,1,1,1,2,0.035087719,0,0,0.099527665
0000-0001-6976-9246,0,3,1,12,0.037735849,0,1,0.017819706
0000-0001-6977-3421,0,13,1,7,0.229508197,0,1,0.029751063
0000-0001-6983-8547,0,28,1,7,0.240963855,0,0,0.207312007
0000-0001-6984-6918,0,0,1,0,0,3,1,0.040816327
0000-0001-6985-351X,0,2,1,1,0.083333333,0,1,-0.066666667
0000-0001-7049-1560,0,54,1,16,0.782608696,0,1,-0.529275362
0000-0001-7094-2878,0,8,1,6,0.089552239,1,1,0.017590618
0000-0001-7095-9688,0,10,1,6,0.128205128,1,1,-0.042490842
0000-0001-7112-5909,1,0,1,0,0,0,1,0
0000-0001-7121-9112,0,0,1,0,0,0,1,0.042553191
0000-0001-7125-9480,0,0,1,0,0,3,1,0.048076923
0000-0001-7164-3247,0,20,1,10,0.243243243,1,1,-0.079064139
0000-0001-7164-7280,0,5,1,2,0.162790698,0,0,-0.11517165
0000-0001-7176-6853,0,14,1,7,0.01369863,2,1,0.202968037
0000-0001-7252-0089,1,0,1,0,0,0,0,0.027777778
0000-0001-7261-8377,1,37,1,9,0.166666667,0,1,-0.095238095
0000-0001-7263-4748,0,0,1,0,0,0,1,0
0000-0001-7265-065X,0,1,1,1,0,3,1,0.084337349
0000-0001-7309-4325,0,15,1,11,0.310344828,0,0,0.286670098
0000-0001-7344-0187,0,4,1,3,0.072727273,0,0,-0.05311943
0000-0001-7347-5865,0,7,1,5,0.111111111,1,1,-0.016771488
0000-0001-7362-148X,1,4,1,3,0.114285714,0,0,-0.080952381
0000-0001-7411-4658,0,30,1,4,0,3,1,1.072916667
0000-0001-7420-2420,0,0,1,0,0,0,1,0.025641026
0000-0001-7422-5438,0,0,1,0,0,3,1,0
0000-0001-7423-0712,1,5,1,3,0.085106383,0,0,-0.005106383
0000-0001-7423-7500,0,9,1,2,0,3,1,0.05952381
0000-0001-7427-2939,0,9,1,9,0.06,3,1,0.2525
0000-0001-7446-6135,1,11,1,7,1.8,0,1,-1.476056338
0000-0001-7479-9044,0,12,1,10,0.160493827,1,1,-0.126011069
0000-0001-7501-7972,0,6,1,4,0.125,2,1,0.182692308
0000-0001-7505-5899,0,20,1,6,0,1,1,0.382716049
0000-0001-7574-4870,0,3,1,4,0.035294118,2,1,0.089705882
0000-0001-7587-0818,0,26,1,5,0.638297872,0,1,-0.150492994
0000-0001-7596-3184,1,7,1,3,0.2,0,1,-0.046153846
0000-0001-7601-4749,0,10,1,6,0,0,0,0.047619048
0000-0001-7615-1145,0,0,1,0,0,3,1,0.033333333
0000-0001-7625-0100,0,3,1,4,0.071428571,0,0,0.071428571
0000-0001-7631-3589,0,78,1,9,0.444444444,1,1,0.081871345
0000-0001-7645-893X,1,0,1,0,0,0,0,0.015873016
0000-0001-7652-5645,0,10,1,7,0.071428571,1,1,0.024725275
0000-0001-7683-5811,0,17,1,7,0.052631579,0,1,0.324417601
0000-0001-7698-6791,1,0,1,0,0,0,1,0.027777778
0000-0001-7720-4667,0,33,1,9,0.122807018,2,1,0.723346829
0000-0001-7723-839X,0,0,1,0,0.023809524,0,1,0.026190476
0000-0001-7747-0033,0,5,1,3,0.081967213,0,1,-0.081967213
0000-0001-7778-0920,1,0,1,0,0,0,1,0.34
0000-0001-7789-9809,0,5,1,3,0,0,1,0.211538462
0000-0001-7801-5243,0,2,1,2,0.090909091,1,1,0.018181818
0000-0001-7807-7313,0,0,1,0,0,0,1,0.020408163
0000-0001-7829-7308,0,20,1,8,0.0625,1,1,0.159722222
0000-0001-7840-7431,0,0,1,0,0,0,0,0.032786885
0000-0001-7841-4594,0,35,1,7,0.923076923,0,0,-0.883076923
0000-0001-7843-2151,1,0,1,0,0.029411765,0,1,0.129004077
0000-0001-7847-7560,0,0,1,1,0.017857143,0,1,0.004365079
0000-0001-7849-7422,0,12,1,11,0.145833333,0,0,-0.024621212
0000-0001-7851-2653,0,27,1,13,0.545454545,1,1,0.279545455
0000-0001-7861-203X,1,11,1,4,0.378378378,0,0,0.066066066
0000-0001-7893-0468,0,15,1,10,0.224137931,0,0,-0.224137931
0000-0001-7928-4146,0,17,1,6,0.180722892,3,1,0.337795627
0000-0001-7937-8556,0,26,1,11,0.217391304,0,0,0.202898551
0000-0001-7943-9873,0,14,1,8,0.04,0,0,0.041632653
0000-0001-7945-4993,0,8,1,6,0.085106383,2,1,-0.085106383
0000-0001-7969-0531,0,24,1,8,0.083333333,2,1,-0.083333333
0000-0001-7977-193X,0,14,1,19,0.090909091,0,0,0.075757576
0000-0001-7980-6346,0,8,1,5,0.130434783,0,0,0.081103679
0000-0001-7980-6901,0,7,1,6,0.1,0,1,0.11875
0000-0001-7984-6305,0,7,1,4,0.085714286,0,1,-0.005714286
